"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20441","T47-Verify that User should able to click on ""How to Deposit"" on the How To page","ZA Region","Mon Sep 22 09:46:21 IST 2025","passed","Mon Sep 22 09:46:42 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","19425","T34-Verify Contents of betway app","ZA Region","Mon Sep 22 09:44:51 IST 2025","passed","Mon Sep 22 09:45:11 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","22773","T46-Verify that User should able to click on any option available on ""How to Register"" section","ZA Region","Mon Sep 22 09:46:17 IST 2025","passed","Mon Sep 22 09:46:40 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","68771","T28-Verify functionality of ""Back button"" on Responsible Gaming page","ZA Region","Mon Sep 22 09:44:15 IST 2025","passed","Mon Sep 22 09:45:24 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","59078","T46-Verify that User should able to click on any option available on ""How to SMS"" section","ZA Region","Sat Sep 20 14:57:59 IST 2025","passed","Sat Sep 20 14:58:58 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","65477","T33-Verify functionality of ""Betway App"" at Footer section","ZA Region","Mon Sep 22 09:44:45 IST 2025","passed","Mon Sep 22 09:45:50 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","45402","T48-Verify that User should able to click on any option available on ""How to Bet"" section","ZA Region","Sat Sep 20 14:58:30 IST 2025","passed","Sat Sep 20 14:59:15 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","13927","T7-Verify contents of the ""Sponsorships"" page","ZA Region","Mon Sep 22 09:42:29 IST 2025","passed","Mon Sep 22 09:42:43 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","27701","T1-Verify Footer page","ZA Region","Mon Sep 22 09:42:00 IST 2025","passed","Mon Sep 22 09:42:28 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","43683","T38-Verify functionality of ""Betting Rules"" at footer section","ZA Region","Sat Sep 20 14:57:02 IST 2025","passed","Sat Sep 20 14:57:45 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","48206","T45-Verify that User should able to click on ""How to Bet SMS"" on the How To page","ZA Region","Sat Sep 20 14:57:55 IST 2025","passed","Sat Sep 20 14:58:43 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","51076","T54-Verify that User should able to click on any option available on ""How to Deposit"" section","ZA Region","Sat Sep 20 14:59:14 IST 2025","passed","Sat Sep 20 15:00:05 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","32906","T35-Verify functionality of ""Back button"" inside the Betway App page screen","ZA Region","Mon Sep 22 09:45:02 IST 2025","passed","Mon Sep 22 09:45:35 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","47139","T21-Verify functionality of Facebook: /BetwaySouthAfrica"" hyperlink","ZA Region","Mon Sep 22 09:43:28 IST 2025","passed","Mon Sep 22 09:44:15 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","17136","T14-Verify functionality of ""Contact Us"" button","ZA Region","Mon Sep 22 09:42:48 IST 2025","passed","Mon Sep 22 09:43:05 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","51743","T32-Verify functionality of ""Betting Rules"" at footer section","ZA Region","Mon Sep 22 09:44:41 IST 2025","passed","Mon Sep 22 09:45:32 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","20167","T9-Verify that on Sponsorships information page all the hyperlink should navigate to the respected page after clicking on it","ZA Region","Mon Sep 22 09:42:30 IST 2025","passed","Mon Sep 22 09:42:51 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","68481","T54-Verify that User should able to click on any option available on ""How to Jackpots"" section","ZA Region","Mon Sep 22 09:47:02 IST 2025","failed","Mon Sep 22 09:48:10 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","45577","T33-Verify contents of the ""Responsible Gaming"" at Footer section","ZA Region","Sat Sep 20 14:56:19 IST 2025","passed","Sat Sep 20 14:57:05 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","37703","T4-Verify functionality of ""Betway"" logo at footer","ZA Region","Mon Sep 22 09:42:00 IST 2025","passed","Mon Sep 22 09:42:38 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","43831","T6-Verify functionality of Back button inside ""Sponsorships"" page","ZA Region","Sat Sep 20 14:54:33 IST 2025","passed","Sat Sep 20 14:55:17 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","11172","T65-Verify presence of version information of Betway application at footer section","ZA Region","Mon Sep 22 09:47:25 IST 2025","passed","Mon Sep 22 09:47:36 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","17036","T69-Verify presence and functionality of social media icons at footer section","ZA Region","Mon Sep 22 09:47:36 IST 2025","passed","Mon Sep 22 09:47:53 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","18496","T70-Verify functionality of ""18"" logo at footer section","ZA Region","Sat Sep 20 15:01:15 IST 2025","passed","Sat Sep 20 15:01:33 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","23692","T8-Verify functionality of Back button inside ""Sponsorships"" page","ZA Region","Mon Sep 22 09:42:30 IST 2025","passed","Mon Sep 22 09:42:54 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","34714","T20-Verify presence and functionality of ""Twitter: @Betway_GH"" hyperlink","ZA Region","Mon Sep 22 09:43:13 IST 2025","passed","Mon Sep 22 09:43:48 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","58844","T37-Verify functionality of ""Back"" button on ""Terms & Conditions"" page","ZA Region","Sat Sep 20 14:56:48 IST 2025","passed","Sat Sep 20 14:57:47 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","58247","T53-Verify that User should able to click on ""How to Deposit"" on the How To page","ZA Region","Sat Sep 20 14:59:12 IST 2025","passed","Sat Sep 20 15:00:10 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","51199","T44-Verify options availability at ""How To"" page","ZA Region","Sat Sep 20 14:57:47 IST 2025","passed","Sat Sep 20 14:58:38 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","46565","T38-Verify options availability at ""How To"" page","ZA Region","Mon Sep 22 09:45:24 IST 2025","passed","Mon Sep 22 09:46:11 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","17726","T68-Verify functionality of ""App store"" icons from the footer section","ZA Region","Mon Sep 22 09:47:31 IST 2025","passed","Mon Sep 22 09:47:49 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","61880","T34-Verify functionality of ""Back button"" on Responsible Gaming page","ZA Region","Sat Sep 20 14:56:23 IST 2025","passed","Sat Sep 20 14:57:25 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","48153","T41-Verify functionality of ""Back button"" inside the Betway App page screen","ZA Region","Sat Sep 20 14:57:25 IST 2025","passed","Sat Sep 20 14:58:13 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","17498","T24-Verify that User should able to click on any question from FAQs list","ZA Region","Mon Sep 22 09:43:48 IST 2025","passed","Mon Sep 22 09:44:06 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","39398","T48-Verify that User should able to click on any option available on ""How to Deposit"" section","ZA Region","Mon Sep 22 09:46:22 IST 2025","passed","Mon Sep 22 09:47:02 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","45170","T63-Verify functionality of ""Affiliate Program"" button at the Footer section","ZA Region","Sat Sep 20 15:00:05 IST 2025","passed","Sat Sep 20 15:00:50 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","36724","T40-Verify that User should able to click on any option available on ""How to SMS"" section","ZA Region","Mon Sep 22 09:45:35 IST 2025","passed","Mon Sep 22 09:46:11 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","50793","T16-Verify functionality of ""Back"" button on ""Contact us"" page","ZA Region","Mon Sep 22 09:42:52 IST 2025","passed","Mon Sep 22 09:43:43 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","28192","T50-Verify that User should able to click on any option available on ""How to Reset Password"" section","ZA Region","Mon Sep 22 09:46:38 IST 2025","passed","Mon Sep 22 09:47:06 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","50151","T39-Verify functionality of ""Betway App"" at Footer section","ZA Region","Sat Sep 20 14:57:05 IST 2025","passed","Sat Sep 20 14:57:55 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","31603","T3-Verify that user should able to click on ""Betway"" logo in footer","ZA Region","Mon Sep 22 09:42:00 IST 2025","passed","Mon Sep 22 09:42:32 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","51935","T35-Verify functionality of ""Terms & Conditions"" at the Footer section","ZA Region","Sat Sep 20 14:56:25 IST 2025","passed","Sat Sep 20 14:57:17 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","54733","T57-Verify that User should able to click on ""How to Withdraw"" on the How To page","ZA Region","Sat Sep 20 14:59:26 IST 2025","passed","Sat Sep 20 15:00:21 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","51085","T25-Verify functionality of ""Back button"" inside FAQs page","ZA Region","Mon Sep 22 09:43:50 IST 2025","passed","Mon Sep 22 09:44:41 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","17389","T27-Verify contents of the ""Responsible Gaming"" at Footer section","ZA Region","Mon Sep 22 09:44:06 IST 2025","passed","Mon Sep 22 09:44:23 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","29046","T2-Verify the ""Betway"" logo in footer","ZA Region","Mon Sep 22 09:42:00 IST 2025","passed","Mon Sep 22 09:42:29 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","43180","T51-Verify that User should able to click on ""How to Register"" on the How To page","ZA Region","Sat Sep 20 14:58:43 IST 2025","passed","Sat Sep 20 14:59:26 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","27962","T30-Verify expand and collapse functionality of any options button inside ""Terms & Conditions"" page","ZA Region","Mon Sep 22 09:44:23 IST 2025","passed","Mon Sep 22 09:44:51 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","44139","T55-Verify that User should able to click on ""How to Reset Password"" on the How To page","ZA Region","Sat Sep 20 14:59:15 IST 2025","passed","Sat Sep 20 15:00:00 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","44598","T18-Verify the presence and contents of ""Standard Rate"" on Contact details page inside contact Us page","ZA Region","Mon Sep 22 09:43:05 IST 2025","passed","Mon Sep 22 09:43:50 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","53874","T58-Verify that User should able to click on any option available on ""How to Withdraw"" section","ZA Region","Sat Sep 20 14:59:36 IST 2025","passed","Sat Sep 20 15:00:30 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","45019","T19-Verify the presence and functionality of ""Email: Support@betway.co.za"" hyperlink","ZA Region","Mon Sep 22 09:43:09 IST 2025","passed","Mon Sep 22 09:43:54 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","25603","T51-Verify that User should able to click on ""How to Withdraw"" on the How To page","ZA Region","Mon Sep 22 09:46:40 IST 2025","passed","Mon Sep 22 09:47:05 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","38067","T49-Verify that User should able to click on ""How to Betgames"" on the How To page","ZA Region","Sat Sep 20 14:58:34 IST 2025","passed","Sat Sep 20 14:59:12 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","29521","T6-Verify that user should able to click on ""Sponsorships"" logo in footer","ZA Region","Mon Sep 22 09:42:00 IST 2025","passed","Mon Sep 22 09:42:30 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","54446","T61-Verify that User should able to click on ""How to Casino"" on the How To page","ZA Region","Sat Sep 20 15:00:00 IST 2025","passed","Sat Sep 20 15:00:54 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","15304","T10-Verify that on Sponsorships information page all the hyperlink should navigate to the respected page after clicking on it","ZA Region","Mon Sep 22 09:42:32 IST 2025","passed","Mon Sep 22 09:42:48 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","42403","T29-Verify functionality of ""FAQs"" button at Footer section","ZA Region","Sat Sep 20 14:55:42 IST 2025","passed","Sat Sep 20 14:56:25 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","15585","T67-Verify presence and functionality of ""Betway App QR code "" at footer section","ZA Region","Mon Sep 22 09:47:31 IST 2025","passed","Mon Sep 22 09:47:47 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","31763","T9-Verify functionality of ""Contact Us"" button","ZA Region","Sat Sep 20 14:55:08 IST 2025","passed","Sat Sep 20 14:55:39 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","42401","T40-Verify Contents of betway app","ZA Region","Sat Sep 20 14:57:17 IST 2025","passed","Sat Sep 20 14:57:59 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","49491","T12-Verify functionality of ""privacy policy"" button","ZA Region","Mon Sep 22 09:42:39 IST 2025","passed","Mon Sep 22 09:43:28 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","31949","T43-Verify that User should able to click on ""How to Betgames"" on the How To page","ZA Region","Mon Sep 22 09:45:50 IST 2025","passed","Mon Sep 22 09:46:22 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","40857","T13-Verify the presence and contents of ""Standard Rate"" on Contact details page inside contact Us page","ZA Region","Sat Sep 20 14:55:17 IST 2025","passed","Sat Sep 20 14:55:58 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","28429","T37-Verify functionality of ""How To"" button at Footer section","ZA Region","Mon Sep 22 09:45:21 IST 2025","passed","Mon Sep 22 09:45:49 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","22849","T55-Verify that User should able to click on ""How to Casino"" on the How To page","ZA Region","Mon Sep 22 09:47:04 IST 2025","passed","Mon Sep 22 09:47:27 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","60989","T47-Verify that User should able to click on ""How to Bet"" on the How To page","ZA Region","Sat Sep 20 14:58:13 IST 2025","passed","Sat Sep 20 14:59:14 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","31840","T10-Verify contents of of ""Contact Us"" button","ZA Region","Sat Sep 20 14:55:10 IST 2025","passed","Sat Sep 20 14:55:42 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","48898","T39-Verify that User should able to click on ""How to Bet SMS"" on the How To page","ZA Region","Mon Sep 22 09:45:32 IST 2025","passed","Mon Sep 22 09:46:21 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","51051","T26-Verify functionality of ""Responsible Gaming"" at Footer section","ZA Region","Mon Sep 22 09:43:54 IST 2025","passed","Mon Sep 22 09:44:45 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","47702","T11-Verify functionality of ""Back"" button on ""Contact us"" page","ZA Region","Sat Sep 20 14:55:12 IST 2025","passed","Sat Sep 20 14:56:00 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","25784","T31-Verify functionality of ""Back"" button on ""Terms & Conditions"" page","ZA Region","Mon Sep 22 09:44:36 IST 2025","passed","Mon Sep 22 09:45:02 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","87394","T53-Verify that User should able to click on ""How to Jackpots"" on the How To page","ZA Region","Mon Sep 22 09:46:42 IST 2025","failed","Mon Sep 22 09:48:09 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","31810","T52-Verify that User should able to click on any option available on ""How to Withdraw"" section","ZA Region","Mon Sep 22 09:46:41 IST 2025","passed","Mon Sep 22 09:47:13 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","38633","T41-Verify that User should able to click on ""How to Bet"" on the How To page","ZA Region","Mon Sep 22 09:45:38 IST 2025","passed","Mon Sep 22 09:46:17 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","19771","T17-Verify functionality of ""Chat to Live Support"" button on Contact details page inside contact Us page","ZA Region","Mon Sep 22 09:42:54 IST 2025","passed","Mon Sep 22 09:43:13 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","46699","T56-Verify that User should able to click on any option available on ""How to Reset Password"" section","ZA Region","Sat Sep 20 14:59:18 IST 2025","passed","Sat Sep 20 15:00:05 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","37599","T52-Verify that User should able to click on any option available on ""How to Register"" section","ZA Region","Sat Sep 20 14:58:58 IST 2025","passed","Sat Sep 20 14:59:36 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","41269","T14-Verify the presence and functionality of ""Email: Support@betway.co.za"" hyperlink","ZA Region","Sat Sep 20 14:55:22 IST 2025","passed","Sat Sep 20 14:56:03 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","35393","T8-Verify back button on ""Privacy policy"" page","ZA Region","Sat Sep 20 14:55:01 IST 2025","passed","Sat Sep 20 14:55:36 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","58229","T29-Verify functionality of ""Terms & Conditions"" at the Footer section","ZA Region","Mon Sep 22 09:44:23 IST 2025","passed","Mon Sep 22 09:45:21 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","48235","T31-Verify functionality of ""Back button"" inside FAQs page","ZA Region","Sat Sep 20 14:56:00 IST 2025","passed","Sat Sep 20 14:56:48 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
